Sno.,Name,SCID,Current Price,Change in Price,Change in Price %,High,Low,Volume,Lower Control Limit,Upper Control Limit,Last Updated (in MoneyControl),Last Scraper
33,Abhinav Leasing & Finance,ALF03,0.60,0.00,0.00,0.61,0.60,18008,0.57,0.61,17-12-2020 4:00:01 PM,19-12-2020 5:38:28 PM
34,Adharshila Capital Services ,ACS05,12.50,0.00,0.00,12.50,12.50,40,11.88,13.12,11-02-2016 4:00:12 PM,19-12-2020 5:38:28 PM
35,Aditya Birla Fashion & Retail - RE,ABF,9.60,0.00,0.00,11.20,5.00,424116,4.90,11.30,17-07-2020 4:00:02 PM,19-12-2020 5:38:26 PM
36,Aditya Birla Fashion & Retail-PP,ABF01,102.60,-2.80,-2.66,109.80,101.95,8436,84.35,126.45,18-12-2020 4:00:01 PM,19-12-2020 5:38:26 PM
37,Advance Syntex ,AS08,10.00,-0.01,-0.10,10.50,9.51,15623,9.51,10.51,18-12-2020 4:00:03 PM,19-12-2020 5:38:25 PM
38,Akshar Spintex Ltd,ASL,13.00,0.00,0.00,14.00,13.00,12000,12.70,14.00,17-12-2020 4:00:00 PM,19-12-2020 5:38:25 PM
39,Amsons Apparels,AA09,0.73,0.00,0.00,0.76,0.73,7,0.73,0.79,22-10-2019 3:40:02 PM,19-12-2020 5:38:22 PM
40,Black Rose Industries,BRI01,131.50,1.25,0.96,132.00,128.20,48582,104.20,156.30,18-12-2020 4:00:01 PM,19-12-2020 5:38:26 PM
41,Ceinsys Tech,AI28,143.95,0.70,0.49,147.40,136.10,1013,136.10,150.40,18-12-2020 4:00:00 PM,19-12-2020 5:38:25 PM
42,Ennore Coke,EC07,2.05,0.00,0.00,2.08,2.05,1001,1.90,2.08,10-05-2018 3:40:02 PM,19-12-2020 5:38:24 PM
43,India Steel Works,ISW,0.70,-0.03,-4.11,0.72,0.70,117461,0.70,0.76,18-12-2020 4:00:00 PM,19-12-2020 5:38:21 PM
44,KIFS Financial Services,KIF03,50.65,2.40,4.97,50.65,46.00,7591,45.85,50.65,18-12-2020 4:00:01 PM,19-12-2020 5:38:25 PM
45,P B Films,F01,0.68,0.00,0.00,0.68,0.68,30000,0.68,0.82,10-12-2019 4:00:02 PM,19-12-2020 5:38:21 PM
46,Panafic Industrials,PI40,0.24,0.01,4.35,0.24,0.22,61655,0.22,0.24,18-12-2020 4:00:03 PM,19-12-2020 5:38:23 PM
47,Prime Urban Development India,PT10,6.68,0.00,0.00,6.68,6.68,1000,6.35,7.01,18-12-2020 4:00:01 PM,19-12-2020 5:38:23 PM
48,Shirpur Gold Refinery,AGR,9.04,-0.21,-2.27,9.67,8.79,17659,8.79,9.71,18-12-2020 4:00:00 PM,19-12-2020 5:38:24 PM
